Heart Of A Lion (Kid Cudi Theme Music),Kid Cudi,126,261.38702947845803,/home/kaileen/Documents/CSC475/Project/music_repo/05 Heart Of A Lion (Kid Cudi Theme Music).m4a
Seven O'Clock News / Silent Night,Simon and Garfunkel,79,119.21124716553288,/home/kaileen/Documents/CSC475/Project/music_repo/Seven O'Clock News _ Silent Night.m4a
Mutt,Blink-182,106,203.476462585034,/home/kaileen/Documents/CSC475/Project/music_repo/Mutt.m4a
Underwater March,Klaus Badelt,46,252.32,/home/kaileen/Documents/CSC475/Project/music_repo/Underwater March.flac
Coltrane (feat. Chris The Voice) [Belocca Remix],"Chris The Voice, Pleasurekraft & Format:B",126,375.5131065759637,/home/kaileen/Documents/CSC475/Project/music_repo/02 Coltrane (feat. Chris The Voice) [Belocca Remix].m4a
"Dance, Dance, Dance",The Beach Boys,75,120.3025850340136,"/home/kaileen/Documents/CSC475/Project/music_repo/Dance, Dance, Dance.m4a"
Mr. Amsterdam,Sum 41,88,176.4948752834467,/home/kaileen/Documents/CSC475/Project/music_repo/Mr. Amsterdam.m4a
The Medallion Calls,Klaus Badelt,96,112.50666666666666,/home/kaileen/Documents/CSC475/Project/music_repo/The Medallion Calls.flac
Fresh,Daft Punk,126,244.436462585034,/home/kaileen/Documents/CSC475/Project/music_repo/06 Fresh.m4a
Revolution 909,Daft Punk,126,326.6118820861678,/home/kaileen/Documents/CSC475/Project/music_repo/03 Revolution 909.m4a
Messinger (Edit),Compass,64,438.85714285714283,/home/kaileen/Documents/CSC475/Project/music_repo/09 Messinger (Edit).m4a
January (feat. Jamie Woon),Disclosure,120,355.7993650793651,/home/kaileen/Documents/CSC475/Project/music_repo/12 January (feat. Jamie Woon).m4a
Confess to Me (feat. Jessie Ware),Disclosure,124,251.30956916099774,/home/kaileen/Documents/CSC475/Project/music_repo/13 Confess to Me (feat. Jessie Ware).m4a
I Can Tell (By the Way You Move) [Paul Woolford Remix],George FitzGerald,124,398.0596825396825,/home/kaileen/Documents/CSC475/Project/music_repo/02 I Can Tell (By the Way You Move) [Paul Woolford Remix].m4a
Surfer Girl,The Beach Boys,71,147.5395918367347,/home/kaileen/Documents/CSC475/Project/music_repo/Surfer Girl.m4a
Phoenix,Daft Punk,128,297.1689795918367,/home/kaileen/Documents/CSC475/Project/music_repo/05 Phoenix.m4a
Vanished (demo),Meshuggah,76,334.1119274376417,/home/kaileen/Documents/CSC475/Project/music_repo/11 Vanished (demo).m4a
4000 Miles (feat. Damon C Scott) [David Morales Red Zone Remix],Oscar G & DMS12,124,406.7439455782313,/home/kaileen/Documents/CSC475/Project/music_repo/03 4000 Miles (feat. Damon C Scott) [David Morales Red Zone Remix].m4a
Moonlight Serenade,Klaus Badelt,67,128.65333333333334,/home/kaileen/Documents/CSC475/Project/music_repo/Moonlight Serenade.flac
Need U (100%) [feat. A*M*E],Duke Dumont,124,233.7320634920635,/home/kaileen/Documents/CSC475/Project/music_repo/02 Need U (100%) [feat. A_M_E].m4a
Yoohoo,Dusky,122,363.43873015873015,/home/kaileen/Documents/CSC475/Project/music_repo/01 Yoohoo.m4a
Aliens Exist,Blink-182,107,193.02748299319728,/home/kaileen/Documents/CSC475/Project/music_repo/Aliens Exist.m4a
Help Me Lose My Mind (feat. London Grammar),Disclosure,109,246.5494784580499,/home/kaileen/Documents/CSC475/Project/music_repo/14 Help Me Lose My Mind (feat. London Grammar).m4a
Heroes Of The Night (Pleasurekraft Remix),"Christian Cambas, Umek",64,387.4481632653061,/home/kaileen/Documents/CSC475/Project/music_repo/Heroes Of The Night (Pleasurekraft Remix).m4a
Aerodynamic,Daft Punk,124,211.27836734693878,/home/kaileen/Documents/CSC475/Project/music_repo/02 Aerodynamic.m4a
Alive (Nightmare),Kid Cudi Feat. Ratatat,102,246.78167800453514,/home/kaileen/Documents/CSC475/Project/music_repo/10 Alive (Nightmare).m4a
Slow Dance,Duke Dumont,124,250.2878911564626,/home/kaileen/Documents/CSC475/Project/music_repo/02 Slow Dance.m4a
Chariots of the Gods (feat. Rockets),Duck Sauce,61,355.5207256235828,/home/kaileen/Documents/CSC475/Project/music_repo/01 Chariots of the Gods (feat. Rockets).m4a
Naïveté (Part 1),Solus,72,208.84027210884355,/home/kaileen/Documents/CSC475/Project/music_repo/07 Naïveté (Part 1).m4a
Quilt of Shame,Solus,81,376.85986394557824,/home/kaileen/Documents/CSC475/Project/music_repo/09 Quilt of Shame.m4a
Godfather,Frankie Knuckles,122,253.97986394557824,/home/kaileen/Documents/CSC475/Project/music_repo/01 Godfather.m4a
We Magnify His Name,Floorplan,126,555.3516553287982,/home/kaileen/Documents/CSC475/Project/music_repo/01 We Magnify His Name.m4a
Too Long,Daft Punk,128,600.3287074829932,/home/kaileen/Documents/CSC475/Project/music_repo/14 Too Long.m4a
Makes Me Love You (Morning Star Mix),Eclipse,123,564.7092970521542,/home/kaileen/Documents/CSC475/Project/music_repo/01 Makes Me Love You (Morning Star Mix).m4a
Metro,Edit Murphy,120,448.72562358276645,/home/kaileen/Documents/CSC475/Project/music_repo/01 Metro.m4a
Shades,Dark Sky,63,488.45496598639454,/home/kaileen/Documents/CSC475/Project/music_repo/02 Shades.m4a
Dysentery Gary,Blink-182,53,165.41895691609977,/home/kaileen/Documents/CSC475/Project/music_repo/Dysentery Gary.m4a
Child,George FitzGerald,124,396.8290249433107,/home/kaileen/Documents/CSC475/Project/music_repo/01 Child.m4a
Part of Me,Aden,126,487.8744671201814,/home/kaileen/Documents/CSC475/Project/music_repo/01 Part of Me.m4a
"Help Me, Rhonda",The Beach Boys,70,167.99637188208618,"/home/kaileen/Documents/CSC475/Project/music_repo/Help Me, Rhonda.m4a"
A Hazy Shade Of Winter,Simon and Garfunkel,71,138.019410430839,/home/kaileen/Documents/CSC475/Project/music_repo/A Hazy Shade Of Winter.m4a
Indo Silver Club,Daft Punk,126,274.76172335600904,/home/kaileen/Documents/CSC475/Project/music_repo/14 Indo Silver Club.m4a
Da Funk,Daft Punk,112,329.60725623582766,/home/kaileen/Documents/CSC475/Project/music_repo/04 Da Funk.m4a
Reception,Daniel Avery,116,368.0130612244898,/home/kaileen/Documents/CSC475/Project/music_repo/03 Reception.m4a
Fall Away from Love,Danny Daze,126,416.58920634920634,/home/kaileen/Documents/CSC475/Project/music_repo/02 Fall Away from Love.m4a
Yuki,Eric Ericksson,122,387.308843537415,/home/kaileen/Documents/CSC475/Project/music_repo/02 Yuki.m4a
Arp3,Floating Points,126,560.8547845804989,/home/kaileen/Documents/CSC475/Project/music_repo/04 Arp3.m4a
Future Breed Machine,Meshuggah,88,348.6243990929705,/home/kaileen/Documents/CSC475/Project/music_repo/01 Future Breed Machine.m4a
